Séquence	Souche	Début	Fin	Longueur	Type	%GC
AF005049.1	LL	1	1392	1392	16S rRNA	57
CP026606.1	DSM	912033	912107	75	tRNA	61
CP026606.1	DSM	1087613	1087687	75	tRNA	60
CP026606.1	DSM	615181	615259	79	tRNA	56
CP026606.1	DSM	912139	912215	77	tRNA	59
CP026606.1	DSM	912386	912460	75	tRNA	61
CP026606.1	DSM	1087498	1087574	77	tRNA	61
CP026606.1	DSM	1087702	1087776	75	tRNA	64
CP026606.1	DSM	1087789	1087875	87	tRNA	55
CP026606.1	DSM	667896	667971	76	tRNA	64
CP026606.1	DSM	1382205	1382292	88	tRNA	60
CP026606.1	DSM	1087307	1087381	75	tRNA	57
CP026606.1	DSM	1189789	1189864	76	tRNA	63
CP026606.1	DSM	1418909	1418981	73	tRNA	63
CP026606.1	DSM	667999	668076	78	tRNA	69
CP026606.1	DSM	943068	943143	76	tRNA	60
CP026606.1	DSM	1042629	1042718	90	tRNA	61
CP026606.1	DSM	1087904	1087978	75	tRNA	65
CP026606.1	DSM	1180736	1180822	87	tRNA	56
CP026606.1	DSM	228500	228587	88	tRNA	62
CP026606.1	DSM	911938	912013	76	tRNA	59
CP026606.1	DSM	1256653	1256729	77	tRNA	58
CP026606.1	DSM	1378525	1378599	75	tRNA	72
CP026606.1	DSM	1419000	1419074	75	tRNA	58
CP026606.1	DSM	1424371	1424448	78	tRNA	60
CP026606.1	DSM	912559	912635	77	tRNA	59
CP026606.1	DSM	1641766	1641841	76	tRNA	61
CP026606.1	DSM	943403	943477	75	tRNA	64
CP026606.1	DSM	985211	985284	74	tRNA	70
CP026606.1	DSM	1382690	1382763	74	tRNA	59
CP026606.1	DSM	259139	259214	76	tRNA	61
CP026606.1	DSM	534818	534904	87	tRNA	58
CP026606.1	DSM	615359	615437	79	tRNA	56
CP026606.1	DSM	664242	664318	77	tRNA	58
CP026606.1	DSM	828694	828779	86	tRNA	56
CP026606.1	DSM	912476	912550	75	tRNA	60
CP026606.1	DSM	912682	912755	74	tRNA	66
CP026606.1	DSM	1025498	1025603	106	5S rRNA	50
CP026606.1	DSM	1015858	1017282	1425	16S rRNA	57
CP026606.1	DSM	1017448	1020387	2940	23S rRNA	53
CP026606.1	DSM	1020457	1020562	106	5S rRNA	50
CP026606.1	DSM	1022489	1025428	2940	23S rRNA	53
CP026606.1	DSM	985403	988342	2940	23S rRNA	53
CP026606.1	DSM	912237	912342	106	5S rRNA	50
CP026606.1	DSM	983732	985156	1425	16S rRNA	57
CP026606.1	DSM	988412	988517	106	5S rRNA	50
CP026606.1	DSM	1020899	1022323	1425	16S rRNA	57
BX950229.1	S2	40534	41925	1392	16S rRNA	57
BX950229.1	S2	68	182	115	5S rRNA	49
BX950229.1	S2	3402	4793	1392	16S rRNA	57
BX950229.1	S2	5109	5223	115	5S rRNA	49
BX950229.1	S2	37295	40251	2957	23S rRNA	52
BX950229.1	S2	244	3200	2957	23S rRNA	52
BX950229.1	S2	37119	37233	115	5S rRNA	49
BX950229.1	S2	113287	113401	115	5S rRNA	49
BX950229.1	S2	5285	8241	2957	23S rRNA	52
BX950229.1	S2	8443	9834	1392	16S rRNA	57
BX950229.1	S2	339245	339321	77	tRNA	58
BX950229.1	S2	773425	773511	87	tRNA	62
BX950229.1	S2	1049891	1049964	74	tRNA	60
BX950229.1	S2	1263591	1263665	75	tRNA	61
BX950229.1	S2	1431053	1431129	77	tRNA	58
BX950229.1	S2	1507726	1507810	85	tRNA	57
BX950229.1	S2	1600898	1600972	75	tRNA	65
BX950229.1	S2	1601100	1601174	75	tRNA	64
BX950229.1	S2	1601189	1601263	75	tRNA	60
BX950229.1	S2	1601302	1601378	77	tRNA	61
BX950229.1	S2	1601495	1601568	74	tRNA	56
BX950229.1	S2	1627513	1627676	164	tRNA	48
BX950229.1	S2	1644098	1644183	86	tRNA	59
BX950229.1	S2	335592	335666	75	tRNA	64
BX950229.1	S2	383722	383800	79	tRNA	56
BX950229.1	S2	383887	383965	79	tRNA	56
BX950229.1	S2	1305759	1305846	88	tRNA	60
BX950229.1	S2	1309452	1309525	74	tRNA	71
BX950229.1	S2	454031	454115	85	tRNA	62
BX950229.1	S2	700097	700170	74	tRNA	63
BX950229.1	S2	40358	40430	73	tRNA	69
BX950229.1	S2	113083	113156	74	tRNA	59
BX950229.1	S2	197613	197697	85	tRNA	56
BX950229.1	S2	335487	335564	78	tRNA	69
BX950229.1	S2	1268957	1269029	73	tRNA	57
BX950229.1	S2	1269048	1269120	73	tRNA	63
BX950229.1	S2	1305284	1305357	74	tRNA	59
BX950229.1	S2	1601002	1601086	85	tRNA	56
BX950229.1	S2	113173	113246	74	tRNA	60
BX950229.1	S2	113620	113694	75	tRNA	58
BX950229.1	S2	113526	113599	74	tRNA	60
BX950229.1	S2	1507940	1508054	115	tRNA	60
BX950229.1	S2	82518	82593	76	tRNA	60
BX950229.1	S2	112878	112951	74	tRNA	66
BX950229.1	S2	112998	113074	77	tRNA	59
BX950229.1	S2	113418	113492	75	tRNA	58
BX950229.1	S2	1497882	1497956	75	tRNA	62
BX950229.1	S2	82185	82258	74	tRNA	63
CP002913.1	X1	76962	77035	74	tRNA	63
CP002913.1	X1	77295	77370	76	tRNA	60
CP002913.1	X1	107968	108041	74	tRNA	60
CP002913.1	X1	379302	379380	79	tRNA	56
CP002913.1	X1	1686855	1686931	77	tRNA	61
CP002913.1	X1	191672	191756	85	tRNA	56
CP002913.1	X1	1515208	1515284	77	tRNA	58
CP002913.1	X1	1686451	1686525	75	tRNA	65
CP002913.1	X1	108321	108394	74	tRNA	60
CP002913.1	X1	328101	328178	78	tRNA	69
CP002913.1	X1	449951	450035	85	tRNA	60
CP002913.1	X1	477550	477636	87	tRNA	62
CP002913.1	X1	509080	509153	74	tRNA	63
